attempt_id,test_id,total_time_seconds,score_correct,score_total,n_items,rapid_share,n_mc_items,median_mc_item_time,mc_revision_share,score,pace_seconds_per_item,label
00d9b955-c8ca-48c4-bfcc-97d9cfc67b0d,math_grade3_practice_2023,64,17,17,17,0.0,17,3.0,0.0,1.0,3.764705882352941,clean
00e4ccc1-8839-454d-b453-9fb236ba9b1e,science_grade5_2015,782,16,36,36,0.0,34,17.5,0.0,0.4444444444444444,21.72222222222222,clean
00e5d99b-d5a4-4061-b7b9-e91d665709af,science_earth_sci_2015,2136,32,45,45,0.044444444444444446,39,17.0,0.07692307692307693,0.7111111111111111,47.46666666666667,clean
00e9e44c-5c0c-4b33-8b30-529dbba7a922,science_grade5_2015,226,31,36,36,0.3888888888888889,34,2.5,0.058823529411764705,0.8611111111111112,6.277777777777778,clean
00ee202f-ff3a-440c-8e3b-b0db8221c1cb,science_biology_2015,1460,45,46,46,0.17391304347826086,40,10.0,0.0,0.9782608695652174,31.73913043478261,clean
00f23827-2e25-477a-bc49-f6ea22ff13a0,math_grade4_2014,107,1,50,50,0.22,45,1.0,0.0,0.02,2.14,rushed_guess
00f26d85-e2f7-4b59-86b2-03e09b708e14,math_grade3_2014,228,40,40,40,0.8,35,2.0,0.02857142857142857,1.0,5.7,replay
00fcbe34-c6e0-48af-b14b-224a1e2cc95f,math_algebra2_2015,110,7,38,38,0.9736842105263158,34,1.0,0.0,0.18421052631578946,2.8947368421052633,rushed_guess
0100ee8f-4268-4518-9b19-58b959d056c7,math_grade5_practice_2023,14975,21,24,24,0.0,24,100.0,0.08333333333333333,0.875,623.9583333333334,clean
010837f4-0187-4d91-83db-13c8932c0283,math_grade7_2014,1999,24,50,50,0.0,46,22.0,0.13043478260869565,0.48,39.98,clean
01092cfc-5c52-435d-bb27-97d4e80c1740,science_biology_2015,3273,37,46,46,0.0,40,39.0,0.1,0.8043478260869565,71.15217391304348,clean
010afd91-c1da-4c33-b586-4e74eeb3d551,math_grade5_practice_2023,125,23,24,24,0.041666666666666664,24,4.0,0.0,0.9583333333333334,5.208333333333333,clean
010c4a05-3521-4b1e-9dd7-72e6336b447b,science_biology_2015,823,41,46,46,0.17391304347826086,40,9.0,0.025,0.8913043478260869,17.891304347826086,clean
